,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
92,Mostly Self-Taught,Analyst,$40k - $60k,"R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,SwarmChart",Private sector,Economics,Man,USA,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no
93,Mostly Self-Taught,Analyst,$40k - $60k,"Tableau,SAPBusinessObjects","LineChart,BarChart,PieChart,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Marketing,Man,USA,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no
94,Mostly Self-Taught,Engineer,$80k - $100k,Tableau,"LineChart,BarChart",Private sector,Electronics and Communication Engineering,Man,Ireland,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
96,Mostly Self-Taught,Developer,$60k - $80k,"PowerBI,Tableau","LineChart,BarChart,PieChart",Public sector,Mathematics,Man,USA,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
97,Mostly Self-Taught,Analyst,$40k - $60k,Tableau,"LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram",Public sector,Finance,Man,USA,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no
98,Mostly Self-Taught,Analyst,$40k - $60k,Tableau,"LineChart,BarChart,PieChart,Scatterplot",Public sector,Economics,Man,USA,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
99,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,R","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart),box&whiskers,waterfall",Private sector,Multidisciplinary engineering,Man,Germany,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
100,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,Python,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot",Private sector,Mathematics/Physics,Man,USA,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
101,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,PowerBI,R,Tableau,Flourish","LineChart,BarChart,PieChart,Scatterplot,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Applied Statistics,Man,United Kingdom,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no
103,Mostly Self-Taught,Leadership,$120k - $140k,"D3,Angular,Excel,ggplot2,Highcharts,Illustrator,Leaflet,Mapbox,Plotly,R,Tableau,Vega,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,MSc EE,Man,Europe,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no
105,Mostly Self-Taught,Leadership,$100k - $120k,"ArcGIS,Excel,ggplot2,Python,QGIS,R","BarChart,Scatterplot,ChoroplethMap",Private sector,Chemistry ,Man,USA,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
106,Mostly Self-Taught,Leadership,$80k - $100k,"ArcGIS,ggplot2,Plotly,PowerBI,Python,R","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Management,Man,Brazil,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no
107,Mostly Self-Taught,Leadership,$200k+,"Java,Python,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Force-DirectedGraph",Retail,Computer Science,Man,USA,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
108,Mostly Self-Taught,Leadership,$200k+,"Python,Vue,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Engineering,Man,USA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,no,no
110,Mostly Self-Taught,Leadership,$80k - $100k,"D3,ggplot2,Leaflet,QGIS,R,Tableau,Pen&Paper,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Civil and Environmental Engineering,Man,USA,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes
111,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,Leaflet,Plotly,Python,R,Tableau,Pen&Paper,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Acoustics,Man,India,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no
112,Mostly Self-Taught,Leadership,$120k - $140k,"D3,ggplot2,Python,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Force-DirectedGraph",Private sector,Computer Science,Man,USA,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no
113,Mostly Self-Taught,Leadership,$60k - $80k,Tableau,"LineChart,BarChart,Treemap,ChoroplethMap",Private sector,Theater,Man,USA,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no
114,Mostly Self-Taught,Scientist,$100k - $120k,"ggplot2,R,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Force-DirectedGraph",Private sector,Biochemistry,Man,Belgium,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no
115,Mostly Self-Taught,Engineer,$120k - $140k,"Python,Matplotlib","LineChart,BarChart,Scatterplot,NetworkDiagram,RasterMap",US National Lab,Physics and Math,Man,USA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes
116,Mostly Self-Taught,Analyst,< $20k,"Python,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap",Telecom,Electrical and electronics,Man,India,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no
117,Mostly Self-Taught,Scientist,$100k - $120k,"Excel,ggplot2,R,Pen&Paper","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Medicine,Man,United Kingdom,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
118,Mostly Self-Taught,Leadership,$180k - $200k,"D3,Excel,Plotly,Python,R,Vega,Matplotlib,Looker","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Environmental Science,Man,USA,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes
120,Mostly Self-Taught,Designer,$80k - $100k,"D3,Excel,Highcharts,Illustrator,Leaflet,Mapbox,React,Tableau,Vue,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Industrial Design,Man,Brazil,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no
122,Mostly Self-Taught,Leadership,$120k - $140k,"D3,Excel,Illustrator,Java,QGIS,Tableau,WebComponents,Pen&Paper,Canvas","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Illustration ,Man,Hong Kong ,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no
124,Mostly Self-Taught,Leadership,$200k+,"D3,Excel,Illustrator,Plotly,Python,Vue","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Not-for-profit,Economics,Man,USA,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no
127,Mostly Self-Taught,Analyst,$100k - $120k,"PowerBI,Tableau","LineChart,BarChart,Scatterplot,Treemap,RasterMap",Private sector,Chemistry,Man,United Kingdom,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes
129,Equal Parts School and Self-Taught,Leadership,$60k - $80k,"PowerBI,Tableau,Alteryx","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,English Language,Man,United Kingdom,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no
130,Mostly Self-Taught,Analyst,$40k - $60k,"ArcGIS,Excel,ggplot2,Illustrator,Plotly,QGIS,R","LineChart,BarChart,Scatterplot,Treemap,RasterMap",Public sector,Urban Planning,Man,USA,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes
131,Equal Parts School and Self-Taught,Analyst,< $20k,"ArcGIS,ggplot2,Plotly,PowerBI","LineChart,BarChart,PieChart,Hexbin/Heatmap,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Private sector,Electronic engineering,Man,United Kingdom,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no
132,Equal Parts School and Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,R,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart),Histogram",Not-for-profit,Mathematics,Man,USA,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
134,Mostly Self-Taught,Analyst,< $20k,"D3,Gephi,Leaflet,Processing,Python,QGIS,P5/Processing","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Journalism,Computational phisics and complex systems,Man,Mexico,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
135,Mostly Self-Taught,Academic,$40k - $60k,"D3,ggplot2,Illustrator,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Dendrogram,NetworkDiagram,ChoroplethMap,SwarmChart",Academic,Microbiology,Man,USA,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no
136,Mostly Self-Taught,Analyst,$60k - $80k,"D3,ggplot2,PowerBI,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,ChoroplethMap",Private sector,Political Science,Man,USA,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no
137,Mostly Self-Taught,Analyst,$20k - $40k,Excel,"LineChart,BarChart,PieChart,Scatterplot,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Economics,Man,Malaysia,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no
138,Equal Parts School and Self-Taught,Analyst,$40k - $60k,"Excel,ggplot2,Plotly,PowerBI,Python,R,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Treemap",Public sector,Business Analytics,Man,USA,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
139,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,ggplot2,Plotly,PowerBI,R","LineChart,BarChart,Scatterplot,Infographics,ChoroplethMap,RasterMap",Academic,Political science,Man,USA,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes
140,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,Plotly,Python,Tableau","LineChart,BarChart,Scatterplot,Treemap",Public sector,Computer Science,Man,USA,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
141,Mostly Self-Taught,Student,$40k - $60k,"Excel,ggplot2,PowerBI,R,Tableau,Matplotlib","LineChart,BarChart,Scatterplot,Treemap",Private sector,Electronics Engineering,Man,Canada,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
142,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,PowerBI,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap",Private sector,Finance,Man,Spain,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
145,Mostly Self-Taught,Analyst,$80k - $100k,"PowerBI,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Infographics",Private sector,English,Man,USA,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
146,Mostly Self-Taught,Analyst,$40k - $60k,"Qlik,ThoughtSpot","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Public sector,Geography/History,Man,USA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no
148,Mostly Self-Taught,Engineer,$120k - $140k,"Excel,PowerBI,Python,Pen&Paper,Matplotlib","LineChart,BarChart,PieChart",Private sector,Engineering,Man,USA,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
149,Mostly Self-Taught,Engineer,$100k - $120k,"Excel,PowerBI,Tableau","LineChart,BarChart,Hexbin/Heatmap",Private sector,Industrial Engineering,Man,Canada,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
150,Equal Parts School and Self-Taught,Analyst,$100k - $120k,"Excel,Tableau,SAS","LineChart,BarChart,Scatterplot,Treemap,SwarmChart",Private sector,Economics,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
151,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,Mapbox,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Linguistics,Man,USA,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no
152,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,PowerBI,Python,R","LineChart,BarChart,Scatterplot,Treemap,NetworkDiagram,ChoroplethMap",Private sector,Economics / Engineering,Man,New Zealand,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no
153,Equal Parts School and Self-Taught,Analyst,$100k - $120k,"ArcGIS,QGIS,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,RasterMap",Public sector,Engineering and GIS,Man,Canada,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes
154,Mostly Self-Taught,Other,$40k - $60k,"Excel,Illustrator,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Journalism ,Man,USA,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes
155,Mostly Self-Taught,Engineer,$100k - $120k,"Excel,PowerBI,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Computer Science and Engineering,Man,USA,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no
156,Mostly Self-Taught,Scientist,$100k - $120k,"D3,Excel,ggplot2,Highcharts,Illustrator,Leaflet,Plotly,Python,R","LineChart,BarChart,PieChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Social sciences ,Man,Brazil,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no
158,Mostly Self-Taught,Other,$80k - $100k,"D3,ggplot2,Mapbox,QGIS,R,React,Semiotic,Vega,WebGL,Pen&Paper,elm-visualization","LineChart,BarChart,PieChart,Scatterplot,Treemap,ChoroplethMap",Journalism,Chemistry,Man,New Zealand,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no
160,Mostly Self-Taught,Analyst,$140k - $160k,"D3,ggplot2,R,Tableau,Chartio","LineChart,BarChart",Private sector,Mathematics,Man,USA,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
161,Mostly Self-Taught,Engineer,$80k - $100k,"Plotly,PowerBI,Python,Matplotlib","LineChart,BarChart,Scatterplot,ChoroplethMap",Not-for-profit,Biology,Man,USA,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no
163,Mostly Self-Taught,Engineer,< $20k,"Excel,ggplot2,Plotly,Python,R","LineChart,BarChart,Scatterplot",Public sector,Computational Systems Engineering,Man,Mexico,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
164,Mostly Self-Taught,Analyst,$60k - $80k,"ArcGIS,Excel,Gephi,Leaflet,Mapbox,Plotly,Python,QGIS,Tableau","LineChart,BarChart,PieChart,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap",Journalism,English,Man,Canada,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no
165,Mostly Self-Taught,Designer,< $20k,"Cytoscape,Excel,Gephi,Illustrator,Mapbox,kepler.gl,Python,QGIS,Tableau,Vega,WebGL,Pen&Paper,Canvas,RawGraphs,Flourish,Infogram","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,"media studies, art history",Man,Hungary,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes
166,Mostly Self-Taught,Analyst,$40k - $60k,"D3,Excel,Python,QGIS,Matplotlib","LineChart,BarChart,Scatterplot,Infographics",Journalism,Political Science,Man,Sweden,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
167,Equal Parts School and Self-Taught,Other,$60k - $80k,"D3,ggplot2,Illustrator,QGIS,R","LineChart,BarChart,Scatterplot,ChoroplethMap,wafflechart,ridgelines,polarcoordinates",Journalism,Journalism,Man,USA,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no
168,Mostly Self-Taught,Analyst,< $20k,"D3,Excel,ggplot2,Leaflet,Plotly,PowerBI,R,React,WebComponents,Otherphysicalmaterials","LineChart,BarChart,PieChart,Scatterplot,Infographics",Private sector,"mathematics, data structure",Man,Russia,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
169,Equal Parts School and Self-Taught,Leadership,$200k+,"Cytoscape,D3,ggplot2,Python,R,React,Vega,Looker,Semiotic","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Private sector,Mechanical Engineering,Man,USA,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no
170,Mostly Self-Taught,Developer,$60k - $80k,"D3,Mapbox,kepler.gl,Qlik,R,React,Semiotic,WebComponents,WebGL,Pen&Paper,Otherphysicalmaterials,Greensock,Canvas","LineChart,BarChart,Scatterplot,Infographics,3DCharts,VR/ARCharts",Private sector,Master in Business Intelligence,Man,Finland,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
171,Mostly Self-Taught,Leadership,$140k - $160k,"D3,Plotly,Python,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Public sector,Mathematics,Man,USA,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no
172,Mostly Self-Taught,Scientist,$20k - $40k,"Plotly,Python","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,SwarmChart",Private sector,Mechanical Engineering ,Man,USA,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no
173,Equal Parts School and Self-Taught,Developer,$200k+,"PowerBI,Python,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Chemistry,Man,USA,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
174,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,Illustrator,Leaflet,Python,R,Tableau,Matplotlib","LineChart,BarChart,Scatterplot,Infographics,Treemap,Dendrogram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Mathematics,Man,United Kingdom,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no
176,Equal Parts School and Self-Taught,Scientist,$80k - $100k,"D3,Excel,ggplot2,Python,Metabase","LineChart,BarChart,PieChart,Scatterplot,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Mech. Eng./European History,Man,USA,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no
178,Mostly Self-Taught,Scientist,< $20k,"D3,Excel,PowerBI,Python","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap,3DCharts,Force-DirectedGraph",Private sector,Computer Engineering,Man,Turkey,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,no
179,Mostly Self-Taught,Scientist,$80k - $100k,"D3,Gephi,Leaflet,kepler.gl,Python,Tableau,WebGL,Canvas,P5/Processing","LineChart,BarChart,Infographics,NetworkDiagram,Force-DirectedGraph",Private sector,Computer science,Man,France,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no
180,Mostly Self-Taught,Other,$40k - $60k,"D3,ggplot2,Leaflet,Plotly,Python,R,Vega","LineChart,BarChart,Scatterplot,Infographics,ChoroplethMap,SwarmChart",Not-for-profit,Physics,Man,United Kingdom,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no
